Title,Author,Price,Reviews,Weight,Language,User Rating,Pages
Data Analysis Using R (Low Priced Edition): A Primer for Data Scientist,[ Dr Dhaval Maheta],6.75,23,2.53,English,3,500
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"[ Oz du Soleil,  and , Bill Jelen]",32.07,10,1.4,English,4,274
Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition),[ Programming Languages Academy],19.38,56,1.47,Spanish,3,234
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),[ Paul McFedries],24.49,12,1.3,English,2,368
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,[ Cathy Tanimura],40.49,72,1.2,English,5,360
Qualitative Data Analysis: A Methods Sourcebook,"[ Matthew B. Miles, A. Michael Huberman, et al.]",90,205,2.15,English,4,408
Topological Data Analysis with Applications,"[ Gunnar Carlsson,  and , Mikael Vejdemo-Johansson]",54.19,5,1.28,English,5,230
"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse",[ Robert I. Kabacoff],56.99,14,2.62,English,3,656
"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing It All Up (Chicago Guides to Writing, Editing, and Publishing)",,20,46,1.01,English,4,333
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,[ Chad Knowles],15.97,201,7.5,English,5,106
Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook,"[ Programming Languages Academy, Matthew Kinsey, et al.]",,292,,,3,0
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data ... Present Data Effectively (All Things Data)",,28.6,20,1.93,English,4,528
Getting Started with Natural Language Processing,[ Ekaterina Kochmar],39.99,4,1.75,English,3,456
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",[ Walter Shields],24.99,1358,0.97,,4,0
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage,"[ Antoine Jacquier, Oleksiy Kondratyev, et al.]",,14,1.67,English,5,442
Python Tricks: A Buffet of Awesome Python Features,[ Dan Bader],29.99,1330,0.89,English,4,301
Think Bayes: Bayesian Statistics in Python (O'reilly),[ Allen B. Downey],24.2,55,1.19,English,4,338
Monty Python and the Holy Grail (Special Edition),,9.99,10103,,"Unqualified, Japanese (Dolby Digital 2.0 Mono), English (Dolby Digital 5.1), English (Dolby Digital 2.0 Mono)",4,0
Python Data Science Handbook: Essential Tools for Working with Data,[ Jake VanderPlas],68.59,,2.04,English,1,550
Data Science for Supply Chain Forecasting,[ Nicolas Vandeput],51.95,69,1.16,English,4,280
"Python Tools for Scientists: An Introduction to Using Anaconda, JupyterLab, and Python's Scientific Libraries",[ Lee Vaughan],29.99,,,English,1,0
"Fluent Python: Clear, Concise, and Effective Programming",[ Luciano Ramalho],50.99,172,0.22,English,4,560
Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects,[ Leonard J. Ledger],15.97,264,0.62,English,5,88
Boa Vs. Python,,,,,,1,0
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,[ Mike Cohen],54.99,4,1.5,English,3,328
Preparing For A Data Interview: Learn Enough Python For A Project Or An Interview,[ Jonelle Hoop],10.74,,0.19,English,1,24
Coding Games in Python (Computer Coding for Kids),[ DK],13.99,274,1.54,English,4,224
